Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
,Hot,Hot Coffees,Lattes,Coconutmilk Latte with Blonde Espresso,Coconutmilk Latte with Blonde Espresso,Grande,130,132.5,12,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Oatmilk Honey Latte,Oatmilk Honey Latte,Grande,270,270,28,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Oatmilk Honey Latte with Blonde Espresso,Oatmilk Honey Latte with Blonde Espresso,Grande,260,260,24,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Reserve® Hazelnut Bianco Latte,Reserve® Hazelnut Bianco Latte,Grande,380,380,36,https://globalassets.starbucks.com/assets/049d23aac19047f4b3a40532cc24b510.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Reserve® Latte,Reserve® Latte,Grande,230,230,18,https://globalassets.starbucks.com/assets/55083489399e435e81cf41d899051a5a.jpg,,,,,,,,,
33,Hot,Hot Coffees,Lattes,Smoked Butterscotch Latte,Smoked Butterscotch Latte,Grande,350,350,41,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot,Hot Coffees,Macchiatos,Blonde Caramel Cloud Macchiato,Blonde Caramel Cloud Macchiato,Grande,270,352.5,34,https://globalassets.starbucks.com/assets/630461ac0c2548cba7e2ab6482bc6477.jpg,,,,,,,,,
,Hot,Hot Coffees,Macchiatos,Blonde Cocoa Cloud Macchiato,Blonde Cocoa Cloud Macchiato,Grande,280,280,36,https://globalassets.starbucks.com/assets/c2a647e72ace4d2da35b1d7b56b05d12.jpg,,,,,,,,,
,Hot,Hot Coffees,Macchiatos,Caramel Cloud Macchiato,Caramel Cloud Macchiato,Grande,280,282.5,39,https://globalassets.starbucks.com/assets/630461ac0c2548cba7e2ab6482bc6477.jpg,,,,,,,,,
27,Hot,Hot Coffees,Macchiatos,Caramel Macchiato,Caramel Macchiato,Grande,250,250,33,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,,,,,,,,,
,Hot,Hot Coffees,Macchiatos,Cocoa Cloud Macchiato,Cocoa Cloud Macchiato,Grande,300,300,41,https://globalassets.starbucks.com/assets/c2a647e72ace4d2da35b1d7b56b05d12.jpg,,,,,,,,,
,Hot,Hot Coffees,Macchiatos,Espresso Macchiato,,Doppio,15,302.5,0,https://globalassets.starbucks.com/assets/26495f2a8b644fe8960dd74e1891b7b7.jpg,,,,,,,,,
2,Hot,Hot Coffees,Mochas,Caffè Mocha,Caffè Mocha,Grande,360,360,35,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,,,,,,,,,
,Hot,Hot Coffees,Mochas,Reserve® Dark Chocolate Mocha,Reserve® Dark Chocolate Mocha,Grande,320,320,33,https://globalassets.starbucks.com/assets/ce6342b5aeea4607a0e866057e3b5a4c.jpg,,,,,,,,,
32,Hot,Hot Coffees,Mochas,White Chocolate Mocha,White Chocolate Mocha,Grande,430,430,53,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,,,,,,,,,
,Hot,Hot Drinks,Hot Chocolates,Hot Chocolate,,Grande,400,400,43,https://globalassets.starbucks.com/assets/d39650cf28d44aa283a0f311581e3491.jpg,,,,,,,,,
