Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
26,Hot Coffees,Cappuccinos,Cappuccino,Tall,90,8,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
26,Hot Coffees,Cappuccinos,Cappuccino,Grande,120,10,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
26,Hot Coffees,Cappuccinos,Cappuccino,Venti,150,14,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot Coffees,Cappuccinos,Starbucks® Blonde Cappuccino,Short,80,7,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot Coffees,Cappuccinos,Starbucks® Blonde Cappuccino,Tall,90,8,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot Coffees,Cappuccinos,Starbucks® Blonde Cappuccino,Grande,120,10,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot Coffees,Cappuccinos,Starbucks® Blonde Cappuccino,Venti,150,14,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso,Solo,5,0,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso,Doppio,10,0,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso,Triple,15,0,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso,Quad,20,0,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso con Panna,Solo,30,1,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso con Panna,Doppio,35,1,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso con Panna,Triple,40,1,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg,,,,,,,,,
,Hot Coffees,Espresso Shots,Espresso con Panna,Quad,55,1,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg,,,,,,,,,
